ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
1849,PROYECTO ESPECIAL CHINECAS,20164359701,"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) PARA EL PROYECTO: “MEJORAMIENTO DEL CANAL DE IRRIGACIÓN IRCHIM, DESDE EL KM 0+000 AL KM 40+100. ÁMBITO DEL PROYECTO ESPECIAL CHINECAS EN EL DISTRITO DE CHIMBOTE-PROVINCIA DE SANTA-DEPARTAMENTO DE ANCASH",CANAL DE IRRIGACIÓN IRCHIM,Clasificación,Agricultura,29/03/2022,Desaprobado,SIN DESCRIPCION,-78.4989058,-8.9307138,RD N° 00180-2022-SENACE-PE/DEIN,
1895,ANABI S.A.C.,20517187551,"SEGUNDO ITS PARA LA MODIFICACIÓN, AMPLIACIÓN E IMPLEMENTACIÓN DE NUEVOS COMPONENTES DEL EIA DEL PROYECTO MINERO ANAMA",U.M. ANAMA,ITS,Minería,07/09/2016,Desaprobado,SIN DESCRIPCION,-72.7558,-14.3406,RD N° 091-2016-SENACE/DCA,
1761,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,20166544000,"MEJORAMIENTO DEL SERVICIO DE PROTECCION EN EL RIACHUELO YUNCAN EN EL CASERIO DE CARMEN ROSA DEL CENTRO POBLADO DE LA MERCED DE GAUCHO, DISTRITO DE SAN MARCOS, PROVINCIA DE HUARI – DEPARTAMENTO DE ANCASH",DEFENSA RIBEREÑA YUNCAN,Clasificación,Agricultura,23/06/2022,Desaprobado,SIN DESCRIPCION,-77.17437086,-9.58773425,RD N° 00181-2022-SENACE-PE/DEIN,
1764,PETROLEOS DEL PERU PETROPERU SA,20100128218,INFORME TECNICO SUSTENTATORIO PARA EL PROYECTO “MODIFICACIÓN Y MEJORA TECNOLÓGICA EN EL RELLENO DE SEGURIDAD MILLA SEIS DE PETROPERU S.A.-REFINERIA TALARA”,TALARA,ITS,Hidrocarburos,07/05/2021,Desaprobado,SIN DESCRIPCION,-81.2034,-4.5881,RD N° 00161-2021-SENACE-PE/DEAR,
1902,MUNICIPALIDAD DISTRITAL DE LAURICOCHA,20143109241,"CREACIÓN DEL SERVICIO DE PROTECCIÓN Y CONTROL DE INUNDACIONES EN LA MARGEN IZQUIERDA Y DERECHA DEL RÍO LURICOCHA, EN LAS LOCALIDADES DE CEDROHUERTA Y LURICOCHA, DISTRITO DE LURICOCHA, PROVINCIA DE HUANTA, DEPARTAMENTO DE AYACUCHO",CREACIÓN SEL SERVICIO DE PROTECCIÓN Y CONTROL DE INUNDACIONES,Clasificación,Agricultura,02/09/2020,Desaprobado,SIN DESCRIPCION,-70.39899865,-13.15209764,RD N° 00034-2021-SENACE-PE/DEIN,
1949,MUNICIPALIDAD DISTRITAL DE CHOLON,20321337547,SOLICITUD DE CLASIFICACION DE ESTUDIOS AMBIENTALES DEL PROYECTO CREACION DEL PUENTE SOBRE EL RIO HUALLAGA - PUERTO MEGOTE C.P. PARAISO DISTRITO DE CHOLON - MARAÑON - HUANUCO. CODIGO SNIP 299566,SIN UNIDAD,Clasificación,Transportes,18/04/2018,Desaprobado,SIN DESCRIPCION,-76.35326431,-8.47401729,RD N° 00062-2018-SENACE-PE/DEIN,
2042,MUNICIPALIDAD DISTRITAL DE KIMBIRI,20178199251,"EVAP DEL MEJORAMIENTO DEL TRAMO EXISTENTE Y CONSTRUCCIÓN DEL CAMINO VECINAL ENTRE LAS COMUNIDADES DE IRAPITARI - 9 DE DICIEMBRE - PUERTO RICO - CHILENOPATA, DISTRITO DE KIMBIRI - LA CONVENCIÓN–CUSCO","MEJORAMIENTO DEL TRAMO EXISTENTE (KM 0+000 AL KM 4+600 Y KM 9+820 AL KM 11+823) Y CONSTRUCCIÓN (KM 4+600 AL KM 9+820) DEL CAMINO VECINAL ENTRE LAS COMUNIDADES DE IRAPITARI - 9 DE DICIEMBRE - PUERTO RICO - CHILENOPATA, DISTRITO DE KIMBIRI - LA CONVENC",Clasificación,Transportes,30/08/2018,Desaprobado,SIN DESCRIPCION,-73.78355761,-12.62101248,RD N° N °00094-2019-SENACE-PE/DEIN,
2044,LSA ALMACENERA PERÚ S.A.C.,20478205377,PROYECTO DE ALMACÉN DE CONCENTRADOS DE MINERALES LSA  ALMACENERA,ALMACEN LSA,Clasificación,Minería,07/05/2019,Desaprobado,SIN DESCRIPCION,-77.13273512,-11.98356486,RD N° 184-2019-SENACE-PE/DEAR,
2045,UPLAND OIL AND GAS LLC SUCURSAL DEL PERÚ,20516244161,"INFORME TÉCNICO SUSTENTATORIO PARA EL PROYECTO “REUBICACIÓN DE CUATRO (04) POZOS CONFIRMATORIOS: TRES (3) EN LA ESTRUCTURA PIEDRA CANDELA Y UNO (01) EN LA ESTRUCTURA EL CARDO"". ""EIA DE PERFORACIÓN DE 36 POZOS EN LA FASE DE EXPLORACIÓN (6 EXPLORATORIOS Y 3",REUBICACIÓN DE CUATRO (04) POZOS CONFIRMATORIOS: TRES (3) EN LA ESTRUCTURA PIEDRA CANDELA Y UNO (1) EN LA ESTRUCTURA EL CARDO.,ITS,Hidrocarburos,07/09/2022,Desaprobado,SIN DESCRIPCION,-80.56019827,-3.69420596,RD N° 00180-2022-SENACE-PE/DEAR,
1766,GOBIERNO REGIONAL DE PASCO,20489252270,"DIA PARA LA CONSTRUCCIÓN DE LA CARRETERA TRAMO CARHUANCHO - LLICLLAO, DISTRITO DE YANAHUANCA, PROVINCIA DANIEL CARRIÓN, REGIÓN PASCO SNIP Nº 255185","CONSTRUCCIÓN DE LA CARRETERA TRAMO CARHUANCHO - LLICLLAO, DISTRITO DE YANAHUANCA, PROVINCIA DANIEL CARRIÓN, REGIÓN PASCO SNIP Nº 255185",Clasificación,Transportes,11/07/2018,Desaprobado,SIN DESCRIPCION,-76.59510052,-10.53826703,RD N° 00012-2019-SENACE-PE/DEIN,
1952,PROVIAS DESCENTRALIZADO,20380419247,"EVAP DEL PROYECTO MEJORAMIENTO DEL CAMINO VECINAL INTEGRADOR DESDE EL TALLAN, SINCHAO CHICO HASTA LA RUTA PANAMERICANA 1N QUE ARTICULA NUEVO SINCHAO CHICO, ZONA VENTURA, NUEVO TALLAN, NUEVO PIEDRAL Y*","MEJORAMIENTO DEL CAMINO VECINAL INTEGRADOR DESDE EL TALLAN, SINCHAO CHICO HASTA LA RUTA PANAMERICANA 1N QUE ARTICULA NUEVO SINCHAO CHICO, ZONA VENTURA, NUEVO TALLAN, NUEVO PIEDRAL Y EL TABANCO DE EL TALLAN, PROVINCIA DE PIURA - PIURA",Clasificación,Transportes,01/08/2018,Desaprobado,SIN DESCRIPCION,-80.68021473,-5.41684672,RD N° 00031-2018-SENACE-PE/DEIN,
1955,"SAPET DEVELOPMENT PERÚ INC., SUCURSAL DEL PERÚ",20168702346,AMPLIACIÓN E INSTALACIÓN DE LÍNEAS DE CONDUCCIÓN DE GAS NATURAL DE BAJA PRESIÓN EN EL EX LOTE VI,LOTE VII/VI,ITS,Hidrocarburos,15/04/2016,Desaprobado,SIN DESCRIPCION,-81.2939,-4.4757,RD N° 020-2016-SENACE/DCA,
2049,GOBIERNO REGIONAL DE HUANCAVELICA,20486020882,"MEJORAMIENTO Y CREACION DE SERVICIOS DE TRANSITABILIDAD DE LA CARRETERA PAUCARBAMBA - CHINCHIHUASI - PACHAMARCA - MANTARO - HUAYHUA EN LA , PROVINCIA DE CHURCAMPA - HUANCAVELICA",HUANCAVELICA,Clasificación,Transportes,31/01/2022,Desaprobado,SIN DESCRIPCION,-74.5411,-12.5149,RD N° 00090-2022-SENACE-PE/DEIN,
1909,GOBIERNO REGIONAL AMAZONAS,20479569861,CREACIÓN DEL SERVICIO DE TRANSITABILIDAD ENTRE LOS CASERÍOS EL PORVENIR - LEJIA ALTO - LEGIA CHICO Y SAN JOSE DEL DISTRITO DE OMIA - PROVINCIA DE RODRIGUEZ DE MENDOZA - DEPARTAMENTO DE AMAZONAS” CON CUI N°2470548,“CREACIÓN DEL SERVICIO DE TRANSITABILIDAD ENTRE LOS CASERÍOS EL PORVENIR - LEJIA ALTO - LEGIA CHICO Y SAN JOSE,Clasificación,Transportes,28/12/2021,Desaprobado,SIN DESCRIPCION,-77.325976,-6.62754,RD N° 00117-2022-SENACE-PE/DEIN,
