ID,TITULAR,RUC,TITULO_PROYECTO,UNIDAD_PROYECTO,TIPO,ACTIVIDAD,FECHA_INICIO,ESTADO,DESCRIPCION,LONGITUD,LATITUD,RESOLUCION,LABEL
1066,MUNICIPALIDAD DISTRITAL DE JANGAS,20206179776,FALSO,FALSO,FALSO,Transportes,06/12/2019,Desaprobado,SIN DESCRIPCION,-77.57338953,-9.40765194,FALSO,null
773,MUNICIPALIDAD DISTRITAL DE CONCHAMARCA,20206555859,CREACION DE LA TROCHA CARROZABLE CRUCE TINGO 00+000HUAYNACOLLCA 00+800 %u2013 CRUZ PATA 02+100 KM %u2013 CARHUANCHO 04+900 KM %u2013 YORGAPIRCA 07+200 KM %u2013 GASHAPUNTA 08+800 KM, DISTRITO DE CONCHAMARCA %u2013 AMBO %u2013 HU*,FALSO,FALSO,Transportes,21/06/2019,Desaprobado,SIN DESCRIPCION,-76.31169972,-10.09348889,FALSO,null
974,MUNICIPALIDAD PROVINCIAL DE HUANCAVELICA,20171725144,FALSO,TRANSPORTE,FALSO,Transportes,07/11/2022,Desaprobado,SIN DESCRIPCION,-74.96197489,-12.77177263,,null
783,MUNICIPALIDAD DISTRITAL DE HAQUIRA,20189921595,FALSO,FALSO,FALSO,Transportes,04/09/2018,Desaprobado,SIN DESCRIPCION,-72.22796525,-14.34894515,FALSO,null
880,MUNICIPALIDAD PROVINCIAL DE BOLIVAR,20202505695,FALSO,CAMINO VECINAL CHALABAMBA - YALEN,FALSO,Transportes,27/03/2022,Desaprobado,SIN DESCRIPCION,-77.7661541,-7.17726397,FALSO,null
786,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,20193164758,FALSO,CAMINO VECINAL PACCHAHUALLHUA - HUAYAHUA,FALSO,Transportes,19/04/2022,Desaprobado,SIN DESCRIPCION,-73.88915196,-13.85282292,FALSO,null
1091,CONSORCIO TRANSMANTARO S.A.,20383316473,S.E. MANTARO,S.E. MATARO,ITS,Electricidad,05/09/2017,Desaprobado,SIN DESCRIPCION,-74.32697841,-13.27732755,FALSO,null
887,INVICTA MINING CORP S.A.C.,20512526595,FALSO,U.M. INVICTA,ITS,FALSO,29/08/2018,Desaprobado,SIN DESCRIPCION,-77.01483848,-11.03636973,FALSO,null
897,CSF CONTINUA CHACHANI S.A.C.,20600896793,CSF CONTINUA CHACHANI 100 MW,CSF CHACHANI,FALSO,Electricidad,20/07/2016,Desaprobado,SIN DESCRIPCION,-71.8174,-16.7029,FALSO,null
905,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,20131379944,FALSO,FALSO,ITS,Transportes,24/03/2022,Desaprobado,SIN DESCRIPCION,-72.07580273,-13.3677547,FALSO,null
906,MUNICIPALIDAD DISTRITAL DE TINGO,20170145446,FALSO,FALSO,FALSO,Transportes,18/10/2018,Desaprobado,SIN DESCRIPCION,-77.91138489,-6.37087619,FALSO,null
"907,MUNICIPALIDAD DISTRITAL DE OCOBAMBA,20277520126,DIA MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR DE LA VIA CU-106, TRAMO JUKICHACA-KELKAYBAMBA-SAN LORENZO-HUAYRACPUNCO, CENTRO POBLADO DE KQUELCCAYBAMBA - DISTRITO DE OCOBAMBA - PROVINCIA DE LA CON*"",FALSO,FALSO,Transportes,07/08/2018,Desaprobado,SIN DESCRIPCION,-72.32486254,-13.02551542,FALSO,null"
1011,MUNICIPALIDAD DISTRITAL DE PICHARI,20317337150,FALSO,SIN UNIDAD,FALSO,Transportes,12/03/2018,Desaprobado,SIN DESCRIPCION,-73.9036401,-12.20977761,FALSO,null
1013,UNNA ENERGIA S.A.,20100153832,FALSO,LOTE IV,ITS,Hidrocarburos,04/05/2022,Desaprobado,SIN DESCRIPCION,-81.16659046,-4.48448874,FALSO,null
822,MUNICIPALIDAD DISTRITAL DE HUARIACA,20183998651,FALSO,MUNICIPALIDAD DISTRITAL DE HUARIACA,FALSO,Agricultura,26/07/2022,Desaprobado,SIN DESCRIPCION,-76.17808597,-10.45696984,FALSO,null
826,CONCESIONARIA VIAL DEL SOL S.A. - COVISOL S.A.,20522547957,FALSO,SIN UNIDAD,ITS,Transportes,20/07/2017,Desaprobado,SIN DESCRIPCION,-79.46142778,-7.46148035,FALSO,null
843,SOCIEDAD MINERA EL BROCAL S.A.A.,20100017572,FALSO,U.M. COLQUIJIRCA,ITS,FALSO,07/01/2017,Desaprobado,SIN DESCRIPCION,-76.2856,-10.7663,FALSO,null
1045,CONCESIONARIA IIRSA NORTE S.A.,20511004251,FALSO,TRAMO III,ITS,Transportes,16/09/2020,Desaprobado,SIN DESCRIPCION,-77.66107877,-5.68268414,FALSO,null
947,FALSO,20100153832,FALSO,LOTE III,ITS,Hidrocarburos,13/12/2017,Desaprobado,SIN DESCRIPCION,-81.1403,-4.7711,FALSO,null
949,FALSO,20126702737,FALSO,U.M. LA ESTRELLA,ITS,FALSO,19/11/2018,Desaprobado,SIN DESCRIPCION,-77.54179374,-9.75755556,FALSO,null
1849,PROYECTO ESPECIAL CHINECAS,20164359701,FALSO,FALSO,FALSO,Agricultura,29/03/2022,Desaprobado,SIN DESCRIPCION,-78.4989058,-8.9307138,FALSO,null
1895,ANABI S.A.C.,20517187551,FALSO,U.M. ANAMA,ITS,FALSO,07/09/2016,Desaprobado,SIN DESCRIPCION,-72.7558,-14.3406,FALSO,null
1761,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,20166544000,MEJORAMIENTO DEL SERVICIO DE PROTECCION EN EL RIACHUELO YUNCAN EN EL CASERIO DE CARMEN ROSA DEL CENTRO POBLADO DE LA MERCED DE GAUCHO, DISTRITO DE SAN MARCOS, PROVINCIA DE HUARI %u2013 DEPARTAMENTO DE ANCASH,FALSO,FALSO,Agricultura,23/06/2022,Desaprobado,SIN DESCRIPCION,-77.17437086,-9.58773425,FALSO,null
1764,PETROLEOS DEL PERU PETROPERU SA,20100128218,FALSO,TALARA,ITS,Hidrocarburos,07/05/2021,Desaprobado,SIN DESCRIPCION,-81.2034,-4.5881,FALSO,null
1902,MUNICIPALIDAD DISTRITAL DE LAURICOCHA,20143109241,FALSO,FALSO,FALSO,Agricultura,02/09/2020,Desaprobado,SIN DESCRIPCION,-70.39899865,-13.15209764,FALSO,null
1949,MUNICIPALIDAD DISTRITAL DE CHOLON,20321337547,FALSO,SIN UNIDAD,FALSO,Transportes,18/04/2018,Desaprobado,SIN DESCRIPCION,-76.35326431,-8.47401729,FALSO,null
2042,MUNICIPALIDAD DISTRITAL DE KIMBIRI,20178199251,FALSO,FALSO,FALSO,Transportes,30/08/2018,Desaprobado,SIN DESCRIPCION,-73.78355761,-12.62101248,FALSO,null
2044,FALSO,20478205377,FALSO,ALMACEN LSA,FALSO,FALSO,07/05/2019,Desaprobado,SIN DESCRIPCION,-77.13273512,-11.98356486,FALSO,null
2045,FALSO,20516244161,FALSO,FALSO,ITS,Hidrocarburos,07/09/2022,Desaprobado,SIN DESCRIPCION,-80.56019827,-3.69420596,FALSO,null
1766,GOBIERNO REGIONAL DE PASCO,20489252270,FALSO,FALSO,FALSO,Transportes,11/07/2018,Desaprobado,SIN DESCRIPCION,-76.59510052,-10.53826703,FALSO,null
1952,PROVIAS DESCENTRALIZADO,20380419247,EVAP DEL PROYECTO MEJORAMIENTO DEL CAMINO VECINAL INTEGRADOR DESDE EL TALLAN, SINCHAO CHICO HASTA LA RUTA PANAMERICANA 1N QUE ARTICULA NUEVO SINCHAO CHICO, ZONA VENTURA, NUEVO TALLAN, NUEVO PIEDRAL Y*,MEJORAMIENTO DEL CAMINO VECINAL INTEGRADOR DESDE EL TALLAN, SINCHAO CHICO HASTA LA RUTA PANAMERICANA 1N QUE ARTICULA NUEVO SINCHAO CHICO, ZONA VENTURA, NUEVO TALLAN, NUEVO PIEDRAL Y EL TABANCO DE EL TALLAN, PROVINCIA DE PIURA - PIURA,FALSO,Transportes,01/08/2018,Desaprobado,SIN DESCRIPCION,-80.68021473,-5.41684672,FALSO,null
1955,FALSO,20168702346,FALSO,LOTE VII/VI,ITS,Hidrocarburos,15/04/2016,Desaprobado,SIN DESCRIPCION,-81.2939,-4.4757,FALSO,null
2049,GOBIERNO REGIONAL DE HUANCAVELICA,20486020882,MEJORAMIENTO Y CREACION DE SERVICIOS DE TRANSITABILIDAD DE LA CARRETERA PAUCARBAMBA - CHINCHIHUASI - PACHAMARCA - MANTARO - HUAYHUA EN LA , PROVINCIA DE CHURCAMPA - HUANCAVELICA,HUANCAVELICA,FALSO,Transportes,31/01/2022,Desaprobado,SIN DESCRIPCION,-74.5411,-12.5149,FALSO,null
1909,GOBIERNO REGIONAL AMAZONAS,20479569861,FALSO,FALSO,FALSO,Transportes,28/12/2021,Desaprobado,SIN DESCRIPCION,-77.325976,-6.62754,FALSO,null
1911,MUNICIPALIDAD DIST.DE CHALLHUAHUACHO,20288774553,FALSO,OFICINA DE ESTUDIOS Y PROYECTOS,FALSO,Transportes,09/11/2022,Desaprobado,SIN DESCRIPCION,-72.28522179,-14.15026717,,null
1815,SIERRA ANTAPITE S.A.C.,20601434335,FALSO,U.M. ANTAPITE,ITS,FALSO,23/02/2019,Desaprobado,SIN DESCRIPCION,-75.07036832,-13.97353012,FALSO,null
1783,CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.,20511125040,FALSO,FALSO,ITS,Transportes,26/04/2021,Desaprobado,SIN DESCRIPCION,-70.56287702,-13.18797108,FALSO,null
1921,MUNICIPIO DISTRITAL A PARDO LEZAMETA,20219601957,FALSO,FALSO,FALSO,Transportes,13/09/2018,Desaprobado,SIN DESCRIPCION,-77.1460913,-10.29943371,FALSO,null
1971,CONCESIONARIA IIRSA NORTE S.A.,20511004251,FALSO,FALSO,ITS,Transportes,21/01/2023,Desaprobado,SIN DESCRIPCION,-78.41824552,-5.7644785,FALSO,null
2077,FALSO,20253757931,FALSO,SIN UNIDAD,PPC,Electricidad,21/03/2016,Desaprobado,SIN DESCRIPCION,-70.65105639,-17.28914109,FALSO,null
1975,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DEL GOBIERNO REGIONAL MADRE DE DIOS,20199189710,FALSO,FALSO,FALSO,Transportes,05/03/2020,Desaprobado,SIN DESCRIPCION,-69.893474,-12.89414207,FALSO,null
1796,NEXA RESOURCES EL PORVENIR S.A.C.,20492744833,FALSO,U.M. EL PORVENIR,ITS,FALSO,23/07/2018,Desaprobado,SIN DESCRIPCION,-76.21416857,-10.62407306,FALSO,null
2072,CONSORCIO TRANSMANTARO S.A.,20383316473,FALSO,FALSO,ITS,Electricidad,13/11/2020,Desaprobado,SIN DESCRIPCION,-76.19039105,-9.90877266,FALSO,null
1804,GERENCIA SUB REGIONAL CASTROVIRREYNA,20486987864,FALSO,FALSO,FALSO,Transportes,21/07/2022,Desaprobado,SIN DESCRIPCION,-75.34464282,-13.1441667,FALSO,null
1721,FALSO,20600020022,FALSO,U.M. HUACHOCOLPA UNO,ITS,FALSO,10/01/2020,Desaprobado,SIN DESCRIPCION,-74.98216932,-13.07508336,FALSO,null
1857,MUNICIPALIDAD PROVINCIAL DE CANETE,20154440373,FALSO,FALSO,FALSO,Agricultura,24/07/2018,Desaprobado,SIN DESCRIPCION,-76.38744768,-13.07779531,FALSO,null
1861,FALSO,20100079501,FALSO,TAMBOMAYO,ITS,FALSO,05/01/2021,Desaprobado,SIN DESCRIPCION,-71.93716735,-15.4722179,FALSO,null
1728,ANABI S.A.C.,20517187551,PROYECTO UTUNSA,U.M. UTUNSA,ITS,FALSO,28/10/2016,Desaprobado,SIN DESCRIPCION,-72.2888,-14.4182,FALSO,null
1738,AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS,20602114091,FALSO,SIN UNIDAD,IGAPRO,Agricultura,26/10/2021,Desaprobado,SIN DESCRIPCION,-80.45642731,-3.7688137,,null
1825,AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS,20602114091,FALSO,SIN UNIDAD,IGAPRO,Agricultura,13/12/2021,Desaprobado,SIN DESCRIPCION,-78.7772422,-8.37700777,FALSO,null
2012,MUNICIPALIDAD DISTRITAL DE PROVIDENCIA,20187384223,CONSTRUCCION DE LA CARRETERA EL CARMELO %u2013 GRAMALOTE %u2013 LA LIBERTAD, DISTRITO DE PROVIDENCIA - LUYA - AMAZONAS,CONSTRUCCION DE LA CARRETERA EL CARMELO %u2013 GRAMALOTE %u2013 LA LIBERTAD, DISTRITO DE PROVIDENCIA - LUYA - AMAZONAS,FALSO,Transportes,24/09/2019,Desaprobado,SIN DESCRIPCION,-78.27275377,-6.29400738,FALSO,null
1743,MUNICIPALIDAD DISTRITAL DE SAN RAFAEL,20200197357,FALSO,FALSO,FALSO,Transportes,26/04/2019,Desaprobado,SIN DESCRIPCION,-76.17241283,-10.30729026,FALSO,null
1879,GOBIERNO REGIONAL DE UCAYALI,20393066386,EVAP DEL PROYECTO %u201CMEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL CAMPO VERDE %u2013 NUEVA REQUENA, DISTRITOS DE CAMPO VERDE Y NUEVA REQUENA, PROVINCIA DE CORONEL PORTILLO, DEPARTAMENTO DE UCAYALI%u201D COD. SNIP *,%u201CMEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL CAMPO VERDE %u2013 NUEVA REQUENA, DISTRITOS DE CAMPO VERDE Y NUEVA REQUENA, PROVINCIA DE CORONEL PORTILLO, DEPARTAMENTO DE UCAYALI%u201D COD. SNIP 157054,FALSO,Transportes,17/10/2018,Desaprobado,SIN DESCRIPCION,-74.80764534,-8.47693856,FALSO,null
1748,MUNICIPALIDAD DISTRITAL PUCARA,20203936029,FALSO,DIRECCION DE INFRAESTRUCTURA Y DESARROLLO URBANO RURAL,FALSO,Transportes,27/05/2021,Desaprobado,SIN DESCRIPCION,-79.0674,-6.0376,FALSO,null
1838,PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL,20503503639,EVAP PARA EL PUENTE RIO GRANDE, UBICADOS EN LOS CORREDORES VIA NACIONAL RUTA 1S: TRAMO ICA - DV. QUILCA - REPARTICION, RUTA 1SD: TRAMO LOS CERILLOS - ISLAY - MOLLENDO - ILO - EL POZO, RUTA PE38: TRAM*,PUENTE RIO GRANDE, UBICADOS EN LOS CORREDORES VIA NACIONAL RUTA 1S: TRAMO ICA - DV. QUILCA - REPARTICION, RUTA 1SD: TRAMO LOS CERILLOS - ISLAY - MOLLENDO - ILO - EL POZO, RUTA PE38: TRAMO TACNA - TARATA (SNIP 303240),FALSO,Transportes,31/07/2018,Desaprobado,SIN DESCRIPCION,-75.20613489,-14.5074053,FALSO,null
2179,FALSO,20511125040,FALSO,SIN UNIDAD,ITS,Transportes,26/10/2017,Desaprobado,SIN DESCRIPCION,-70.99778292,-70.99778292,FALSO,null
2180,GR VALE S.A.C.,20602751997,FALSO,SOLAR LUPI,FALSO,Electricidad,15/06/2018,Desaprobado,SIN DESCRIPCION,-70.51375055,-16.82030385,FALSO,null
1632,MUNICIPALIDAD PROVINCIAL COTABAMBAS - APURIMAC,20161096068,FALSO,REPRESA CCELLOPAMPA,FALSO,Agricultura,15/07/2022,Desaprobado,SIN DESCRIPCION,-72.25020988,-13.85887406,FALSO,null
1543,SINDICATO ENERGETICO S.A.,20256391202,FALSO,CH OLMOS,ITS,Electricidad,05/11/2021,Desaprobado,SIN DESCRIPCION,-79.5142105,-5.92830908,FALSO,null
1549,MUNICIPALIDAD DISTRITAL DE LUCANAS,20230589446,FALSO,CCCONTACC,FALSO,Agricultura,08/06/2022,Desaprobado,SIN DESCRIPCION,-74.26435207,-14.54027383,FALSO,null
1556,GOBIERNO REGIONAL AYACUCHO,20452393493,FALSO,CAMINO VECINAL,FALSO,Transportes,19/10/2022,Desaprobado,SIN DESCRIPCION,-73.50049218,-13.25466849,FALSO,null
"1648,CONCESIONARIA VIAL DEL SOL S.A. - COVISOL S.A.,20522547957,ITS PARA LAS OBRAS ADICIONALES PASO DE DESNIVEL KM 988+811-SECTOR COSCOMBA DE LA PANAMERICANA NORTE"""",SIN UNIDAD,ITS,Transportes,18/07/2017,Desaprobado,SIN DESCRIPCION,-80.68548995,-5.20168173,FALSO,null"
