Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"1201";"NEXA RESOURCES CAJAMARQUILLA S.A.";"20261677955";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA REFINERÍA CAJAMARQUILLA";"NEXA CAJAMARQUILLA";"MPPC";"Minería";"27/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.88367189";"-11.96927903";"";"null";
"1120";"ELECTRO DUNAS S.A.A.";"20543616967";"PROYECTO SET EL ÁNGEL DE 220/60/10 KV DE 120 MVA Y LÍNEA DE TRANSMISIÓN DE 220KV INDEPENDENCIA %u2013 EL ÁNGEL";"SIN UNIDAD";"Clasificación";"Electricidad";"20/04/2023";"En Evaluación";"SIN DESCRIPCION";"-76.15346814";"-13.72338262";"";"null";
"1402";"AGRICOLA LOS ANDENES S.A.C.";"20603473907";"INSTALACIÓN DE CULTIVO DE VID, EN EL SECTOR FUNDO SAN MARTIN, DISTRITO DE HUMAY, PROVINCIA DE PISCO Y DEPARTAMENTO DE ICA%u201D, DE LA EMPRESA AGRÍCOLA LOS ANDENES S.A.C.";"DOS POZOS Y CULTIVO DE VID";"Clasificación";"Agricultura";"16/02/2023";"En Evaluación";"SIN DESCRIPCION";"-75.88555";"-13.760111";"<Nulo>";"null";
"1123";"AVIAGEN PERU S.A.C.";"20604602115";"EVAP: %u201CCONSTRUCCIÓN DE  UNA PLANTA DE INCUBACIÓN%u201D DE LA EMPRESA AVIAGEN PERÚ S.A.C.";"SIN UNIDAD";"Clasificación";"Agricultura";"21/04/2023";"En Evaluación";"SIN DESCRIPCION";"-78.81037601";"-8.42541228";"";"null";
"1222";"PETROTAL PERU S.R.L.";"20513842377";"MODIFICACIÓN DEL PLAN DE CONTINGENCIAS PARA LAS ACTIVIDADES DE DESARROLLO DEL CAMPO PETROLERO BRETAÑA NORTE - LOTE 95";"DESARROLLO";"ITS";"Hidrocarburos";"30/04/2022";"En Evaluación";"SIN DESCRIPCION";"-74.32985451";"-2.5285338";"";"null";
"860";"MUNICIPALIDAD DISTRITAL DE SAN MARCOS";"20166544000";"MEJORAMIENTO DEL SERVICIO DE PROTECCIÓN EN EL RIACHUELO YUNCAN EN EL CASERÍO DE CARMEN ROSA DEL CENTRO POBLADO DE LA MERCED DE GAUCHO, DISTRITO DE SAN MARCOS - PROVINCIA DE HUARI - DEPARTAMENTO DE ANCASH";"OBRAS DE DEFENSA RIBEREÑA, A EXCEPCIÓN DE AQUELLAS CUYA CONSTRUCCIÓN CONSIDERE COMO INSUMO PRINCIPAL ROCA";"Clasificación";"Agricultura";"29/12/2022";"En Evaluación";"SIN DESCRIPCION";"-77.17377155";"-9.58800917";"";"null";
"1069";"TRANSPORTADORA DE GAS DEL PERÚ S.A.";"20499432021";"MEJORAS EN EL SISTEMA DE DRENAJE EN LA ESTACIÓN REDUCTORA DE PRESIÓN (PRS2) DE LGN DEL STD";"TGP";"ITS";"Hidrocarburos";"17/03/2023";"En Evaluación";"SIN DESCRIPCION";"-75.54387714";"-13.64315996";"";"null";
"1070";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"PLAN DE PARTICIPACIÓN CIUDADANA PARA LA MODIFICACIÓN DEL EIA-D DE LA U.M. UCHUCCHACUA";"UCHUCCHACUA";"PPC";"Minería";"17/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.69256759";"-10.62937221";"";"null";
"1072";"MUNICIPALIDAD DISTRITAL DE COLCABAMBA";"20185726216";"CREACIÓN DEL SERVICIO DE TRANSITABILIDAD DEL CAMINO VECINAL TRAMO CURVA NOGALES - INDEPENDENCIA - HUALLPARI DEL CENTRO POBLADO DE LOS NOGALES DEL DISTRITO DE COLCABAMBA - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA%u201D CON CUI N° 2472597";"CREACIÓN DE CAMINO VECINAL";"Clasificación";"Transportes";"14/03/2023";"En Evaluación";"SIN DESCRIPCION";"-74.70013828";"-12.42090232";"";"null";
"984";"NEXA RESOURCES PERU S.A.A.";"20100110513";"MODIFICACIÓN DEL EIA-D DEL PROYECTO MAGISTRAL";"MAGISTRAL";"MEIA-d";"Minería";"23/12/2021";"En Evaluación";"SIN DESCRIPCION";"-77.77883815";"-8.22028466";"";"null";
"890";"COMPANIA MINERA ANTAMINA S.A";"20330262428";"MODIFICACIÓN AL EIA DE ANTAMINA";"UNIDAD MINERA ANTAMINA";"MEIA-d";"Minería";"12/04/2022";"En Evaluación";"SIN DESCRIPCION";"-77.0440697";"-9.56295533";"";"null";
"991";"ONETO VALLE SEBASTIAN NICOLAS";"10167988917";"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) DEL FUNDO NUEVO MIRAFLORES II Y III, CULTIVO Y EXPORTACIÓN DE PALTA, PAPAYA Y LIMÓN.";"CULTIVOS AGRÍCOLAS DESARROLLADOS EN FORMA INTENSIVA";"Clasificación";"Agricultura";"20/01/2023";"En Evaluación";"SIN DESCRIPCION";"-79.98368238";"-5.76674095";"";"null";
"1098";"AUTORIDAD AUTONOMA DE MAJES";"20162554167";"Modificación del Estudio de Impacto Ambiental Detallado de la Represa Angostura y Gestión Ambiental a Nivel Definitivo";"SIN UNIDAD";"TDR";"Agricultura";"19/04/2023";"En Evaluación";"SIN DESCRIPCION";"-71.64258868";"-15.20556153";"";"null";
"1085";"AUTOPISTA DEL NORTE S.A.C.";"20520929658";"INFORME TÉCNICO SUSTENTATORIO (ITS) PARA LA INSTALACIÓN DE UNA PLANTA DE CHANCADO TORTUGAS DEL PROYECTO OBRAS Y MANTENIMIENTO DE LA RED VIAL 4: PATIVILCA-SANTA-TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N";"MANTENIMIENTO DE PROYECTOS DE INFRAESTRUCTURA DE TRANSPORTES  EN OPERACIÓN  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"ITS";"Transportes";"13/12/2022";"En Evaluación";"SIN DESCRIPCION";"-78.40805729";"-9.38220158";"";"null";
"804";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"PLAN DE PARTICIPACIÓN CIUDADANA DE LA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO  SAN GABRIEL";"SIN UNIDAD";"PPC";"Minería";"05/04/2023";"En Evaluación";"SIN DESCRIPCION";"-70.58141571";"-16.20447517";" ";"null";
"805";"VOLCAN COMPANIA MINERA S.A.A.";"20383045267";"TERCERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (MEIA-D) DE LA UNIDAD MINERA ANDAYCHAGUA";"SIN UNIDAD";"PPC";"Minería";"31/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.00594471";"-11.75075653";" ";"null";
"709";"CNPC PERU S.A.";"20356476434";"PROYECTO DE REUBICACIÓN DE 03 POZOS DE DESARROLLO Y 01 POZO INYECTOR DE RECORTES, INCREMENTO DE LA PROFUNDIDAD DE LOS POZOS DE DESARROLLO Y MODIFICACIÓN PARCIAL DE LA DISTRIBUCIÓN DE COMPONENTES EN LA LOCACION URUBAMBA A";"EXPLOTACIÓN DE HIDROCARBUROS (PROYECTOS DE DESARROLLO Y PRODUCCION, INCLUYENDO LOS QUE PLANTEEN EL USO DE LA FRACTURACION HIDRÁULICA)";"ITS";"Hidrocarburos";"23/12/2022";"En Evaluación";"SIN DESCRIPCION";"-72.946326";"-11.85747771";"";"null";
"809";"MUNICIPALIDAD DISTRITAL DE SAUCE";"20167987207";"MUNICIPALIDAD DISTRITAL DE SAUCE";"GOBIERNOS LOCALES";"PPC";"Agricultura";"27/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.2211938";"-6.68330432";"";"null";
"810";"CONCESIONARIA IIRSA NORTE S.A.";"20511004251";"INFORME TÉCNICO SUSTENTATORIO PARA LA HABILITACIÓN DEL DEPÓSITO DE MATERIAL EXCEDENTE KM 7+943 LI DEL CORREDOR VIAL AMAZONAS NORTE (IIRSA NORTE), TRAMO 01: YURIMAGUA - TARAPOTO.";"TRAMO I";"ITS";"Transportes";"29/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.13366194";"-5.90323743";"";"null";
"812";"AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS";"20602114091";"PROYECTO: CREACIÓN DEL SERVICIO DE PROTECCIÓN FRENTE A INUNDACIONES EN LA QUEBRADA CORRALES, DISTRITO DE CORRALES, PROVINCIA DE TUMBES, DEPARTAMENTO DE TUMBES";"SIN UNIDAD";"IGAPRO";"Agricultura";"31/03/2023";"En Evaluación";"SIN DESCRIPCION";"-80.49271282";"-3.6233233";"";"null";
"813";"AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS";"20602114091";"PROYECTO: CREACIÓN DEL SERVICIO DE PROTECCIÓN EN LAS RIBERAS DEL RÍO HUAURA VULNERABLE ANTE PELIGRO DE INUNDACIONES EN LAS LOCALIDADES DE 5 DISTRITOS DE LA PROVINCIA DE OYÓN Y 6 DISTRITOS DE LA PROVINCIA DE HUAURA %u2013 DEPARTAMENTO DE LIMA";"SIN UNIDAD";"IGAPRO";"Agricultura";"29/03/2023";"En Evaluación";"SIN DESCRIPCION";"-77.43171404";"-11.10572691";"";"null";
"729";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"YUMPAG";"YUMPAG";"EIA-d";"Minería";"01/07/2021";"En Evaluación";"SIN DESCRIPCION";"-76.63454811";"-10.58191723";"";"null";
"1031";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA TAMBOMAYO";"TAMBOMAYO";"MEIA-d";"Minería";"06/03/2023";"En Evaluación";"SIN DESCRIPCION";"-71.9774601";"-15.47878624";"";"null";
"747";"COMPAÑIA MINERA CHUNGAR S.A.C.";"20514608041";"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ROMINA";"ROMINA";"EIA-d";"Minería";"11/06/2022";"En Evaluación";"SIN DESCRIPCION";"-76.51722351";"-11.15528566";"";"null";
"942";"SUMMA GOLD CORPORATION S.A.C.";"20522025071";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"UNIDAD MINERA EL TORO";"Clasificación";"Minería";"01/07/2022";"En Evaluación";"SIN DESCRIPCION";"-78.00494198";"-7.83095746";"";"null";
"946";"NEXA RESOURCES PERU S.A.A.";"20100110513";"PLAN DE PARTICIPACIÓN CIUDADANA DE LA SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA U.M. CERRO LINDO";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"PPC";"Minería";"25/01/2023";"En Evaluación";"SIN DESCRIPCION";"-75.99150542";"-13.08577614";"";"null";
"1893";"PLUSPETROL PERU CORPORATION S.A.";"20304177552";"INFORME TÉCNICO SUSTENTATORIO PARA LA MODIFICACIÓN DE LA UBICACIÓN DE HELIPUERTOS DE LA LÍNEA DE CONDUCCIÓN DE GAS CASHIRIARI 1 %u2013 MALVINAS, LOTE 88";"TRANSPORTE POR DUCTO";"ITS";"Hidrocarburos";"23/12/2022";"En Evaluación";"SIN DESCRIPCION";"-72.79891855";"-11.89202174";"";"null";
"1948";"AUTOPISTA DEL NORTE S.A.C.";"20520929658";"INFORME TÉCNICO SUSTENTATORIO PARA PLANTA CHANCADORA Y ACOPIOS KM 34+600 LD, DEL PROYECTO RED VIAL 4: PATIVILCA, SANTA, TRUJILLO Y SALAVERRY %u2013 EMPALME R01N";"VÍA DE EVITAMIENTO CHIMBOTE";"ITS";"Transportes";"22/03/2023";"En Evaluación";"SIN DESCRIPCION";"-78.61563505";"-8.95899785";"";"null";
"1772";"NEXA RESOURCES CAJAMARQUILLA S.A.";"20261677955";"OCTAVO INFORME TÉCNICO SUSTENTATORIO DE LA REFINERÍA DE CAJAMARQUILLA";"NEXA CAJAMARQUILLA";"ITS";"Minería";"28/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.88367189";"-11.96927903";"";"null";
"1919";"PAN AMERICAN SILVER HUARON S.A.";"20546191541";"DÉCIMO PRIMER INFORME TÉCNICO SUSTENTATORIO DE LA UNIDAD MINERA HUARÓN";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"ITS";"Minería";"30/11/2022";"En Evaluación";"SIN DESCRIPCION";"-76.41095101";"-11.00433398";"";"null";
"1941";"CONCESIONARIA IIRSA NORTE S.A.";"20511004251";"ITS PARA LA 4TA AMPLIACIÓN DEL DME KM 12+550 LD DEL PROYECTO CORREDOR VIAL AMAZONAS NORTE, TRAMO N°4 (OLMOS-CORRAL QUEMADO)";"TRAMO IV";"ITS";"Transportes";"28/10/2022";"En Evaluación";"SIN DESCRIPCION";"-79.61760846";"-5.9422834";"";"null";
"1717";"SOCIEDAD MINERA EL BROCAL S.A.A.";"20100017572";"MODIFICACIÓN DEL EIA DE LA UNIDAD MINERA COLQUIJIRCA";"COLQUIJIRCA 1";"MEIA-d";"Minería";"25/02/2023";"En Evaluación";"SIN DESCRIPCION";"-76.2845052";"-10.78286104";"";"null";
"1868";"PETROLERA MONTERRICO S.A.";"20338598301";"INFORME TÉCNICO SUSTENTATORIO PARA LA MODIFICACIÓN DE LA UBICACIÓN, ÁREA DE LA PLATAFORMA DE PERFORACIÓN, LÍNEAS DE FLUJO Y VÍAS DE ACCESO DE NUEVE (09) POZOS DE DESARROLLO EN EL LOTE II";"LOTE II";"ITS";"Hidrocarburos";"03/10/2022";"En Evaluación";"SIN DESCRIPCION";"-81.11788452";"-4.35401688";"";"null";
"1878";"COMPAÑIA MINERA CHUNGAR S.A.C.";"20514608041";"SEGUNDO INFORME TÉCNICO SUSTENTATORIO DE LA SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO AMPLIACIÓN DE LAS OPERACIONES MINERO-METALÚRGICAS A 4 200 TMD";"SIN UNIDAD";"ITS";"Minería";"05/04/2023";"En Evaluación";"SIN DESCRIPCION";"-76.4241356";"-11.03693446";" ";"null";
"1883";"MUNICIPALIDAD DISTRITAL DE ACOBAMBILLA";"20154442155";"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) PARA EL PROYECTO: %u201CCREACION DE TROCHA CARROZABLE DE 19+763.78 KM TRAMO: TELAPACCHA %u2013 SAN ANTONIO, DISTRITO DE ACOBAMBILLA, PROVINCIA DE HUANCAVELICA, DEPARTAMENTO DE HUANCAVELICA, CUI 2428600%u201D";"SIN UNIDAD";"Clasificación";"Transportes";"06/04/2023";"En Evaluación";"SIN DESCRIPCION";"-75.27869075";"-12.72197939";" ";"null";
"2027";"VOLCAN COMPAÑÍA MINERA S.A.A.";"20383045267";"SEXTO INFORME TÉCNICO SUSTENTATORIO DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA UNIDAD MINERA CARAHUACRA";"CARAHUACRA";"ITS";"Minería";"21/10/2022";"En Evaluación";"SIN DESCRIPCION";"-76.10820298";"-11.6969668";"";"null";
"1887";"CONCESIONARIA INTEROCEANICA SUR TRAMO 2 S.A.";"20511125040";"INFORME TÉCNICO SUSTENTATORIO PARA LOS DEPÓSITOS DE MATERIAL EXCEDENTE KM 69+020 LD Y KM 95+960 LD DEL PROYECTO CORREDOR VIAL INTEROCEÁNICO SUR PERÚ-BRASIL, TRAMO N° 2 URCOS - PUENTE INAMBARI";"MANTENIMIENTO DE PROYECTOS DE INFRAESTRUCTURA DE TRANSPORTES  EN OPERACIÓN  (NO CONSIDERADOS EN EL ANEXO 1 RM 891-2019-MTC)";"ITS";"Transportes";"02/12/2022";"En Evaluación";"SIN DESCRIPCION";"-71.29684816";"-13.64976191";"";"null";
"2194";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"CUARTO ITS DEL PROYECTO SAN GABRIEL";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"ITS";"Minería";"02/02/2023";"En Evaluación";"SIN DESCRIPCION";"-70.58141339";"-16.20447844";"";"null";
"1636";"ELECTRO ARAZA S.A.C.";"20547515324";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA LÍNEA DE TRANSMISIÓN 220KV SE LIMACPUNCO %u2013 SE NUEVA TINTAYA";"LÍNEA DE TRANSMISIÓN (LÍNEA Y SUBESTACIÓN) CON UNA LONGITUD MAYOR A 20KM EN UBICACIÓN C";"PPC";"Electricidad";"10/02/2023";"En Evaluación";"SIN DESCRIPCION";"-71.30108856";"-14.57379563";"";"null";
"2198";"SOCIEDAD MINERA CERRO VERDE S.A.A.";"20170072465";"Segunda Modificación del Estudio de Impacto Ambiental y Social de la Expansión de la Unidad de Producción Cerro Verde";"UNIDAD DE PRODUCCIÓN CERRO VERDE";"PPC";"Minería";"16/05/2023";"En Evaluación";"SIN DESCRIPCION";"-71.59433591";"-16.5358976";"";"null";
"2199";"SHOUGANG HIERRO PERU S.A.A.";"20100142989";"SEGUNDO ITS DE LA MODIFICACION DEL ESTUDIO DE IMPACTO AMBIENTAL PARA EL PROYECTO DE AMPLIACION DE OPERACIONES MINA Y PLANTA DE BENEFICIO";"CPS 1 (Antes MARCONA)";"ITS";"Minería";"16/05/2023";"En Evaluación";"SIN DESCRIPCION";"-75.13410998";"-15.21733334";"";"null";
"2200";"MINERA BOROO MISQUICHILCA S.A.";"20209133394";"Quinto Informe Técnico Sustentatorio de la Segunda Modificación del EIA de la U.M. Lagunas Norte";"Lagunas Norte";"ITS";"Minería";"15/05/2023";"En Evaluación";"SIN DESCRIPCION";"-78.24544278";"-7.95017556";"";"null";
"2202";"NEXA RESOURCES EL PORVENIR S.A.C.";"20492744833";"Octavo Informe Técnico Sustentatorio de la Unidad Minera El Porvenir";"EL PORVENIR";"ITS";"Minería";"12/05/2023";"En Evaluación";"SIN DESCRIPCION";"-76.21142882";"-10.60611652";"";"null";
"2104";"MINSUR S. A.";"20100136741";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA NUEVA ACUMULACIÓN QUENAMARI - SAN RAFAEL";"SAN RAFAEL";"PPC";"Minería";"24/03/2023";"En Evaluación";"SIN DESCRIPCION";"-70.32634742";"-14.22909647";"";"null";
"2204";"SIERRA POLI S.A.C.";"20603830416";"Plan de Participación Ciudadana de la segunda modificación del Estudio de Impacto Ambiental detallado de la U.E.A. Sierra Sumaq Rumi (Ex Azulcocha)";"Sierra Sumaq Rumi";"PPC";"Minería";"11/05/2023";"En Evaluación";"SIN DESCRIPCION";"-79.81860518";"-12.058608";"";"null";
"2205";"MINSUR S. A.";"20100136741";"TERCERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA PUCAMARCA";"Pucamarca";"MEIA-d";"Minería";"11/05/2023";"En Evaluación";"SIN DESCRIPCION";"-69.81002058";"-17.81448645";"";"null";
"2206";"PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL";"20477936882";"NOMBRE DE LA INVERSIÓN MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA PARA RIEGO EN LOS SECTORES DE LA CUENCA MEDIA DEL RÍO CAÑIPIA EN 7 LOCALIDADES DEL DISTRITO DE ESPINAR - PROVINCIA DE ESPINAR - DEPARTAMENTO DE CUSCO";"SUI";"Clasificación";"Agricultura";"10/05/2023";"En Evaluación";"SIN DESCRIPCION";"-71.37398188";"-14.94678149";"";"null";
"2207";"SOCIEDAD MINERA CERRO VERDE S.A.A.";"20170072465";"Noveno Informe Técnico Sustentatorio de la Modificación del Estudio de Impacto Ambiental y Social de la Expansión  de la Unidad de Producción Cerro Verde";"UNIDAD DE PRODUCCIÓN CERRO VERDE";"ITS";"Minería";"10/05/2023";"En Evaluación";"SIN DESCRIPCION";"-71.58876231";"-16.54680429";"";"null";
"2208";"ELGASER SOCIEDAD ANONIMA CERRADA - ELGASER S.A.C.";"20605039139";"Evaluación Ambiental Preliminar del proyecto Planteles de crianza de pollos de engorde - Granja Cerro Isla";"1";"";"Agricultura";"17/05/2023";"En Evaluación";"SIN DESCRIPCION";"-76.41869858";"-12.887202";"";"null";
"2209";"COMPAÑIA MINERA ANTAPACCAY S.A.";"20114915026";"Términos de Referencia Específicos para la Segunda Modificación del Estudio de Impacto Ambiental detallado de la Unidad Minera Antapaccay - Tintaya - Integración Coroccohuayco";"Antapaccay - Tintaya - Integración Coroccohuayco";"";"Minería";"17/05/2023";"En Evaluación";"SIN DESCRIPCION";"-71.38501604";"-14.95183619";"";"null";
"2218";"CONCESIONARIA VIAL DEL SOL S.A.";"20522547957";"INFORME TÉCNICO SUSTENTATORIO: INCORPORACIÓN DE PLANTA INDUSTRIAL KM 725+300 AL PROYECTO DE CONCESIÓN AUTOPISTA DEL SOL TRUJILLO %u2013 SULLANA, TRAMO: TRUJILLO %u2013 CHICLAYO";"Tramo: Trujillo - Chiclayo";"ITS";"Transportes";"30/05/2023";"En Evaluación";"SIN DESCRIPCION";"-79.50079161";"-7.11130062";"";"null";
"2219";"PETROLEOS DEL PERU PETROPERU SA";"20100128218";"Términos de Referencia Específicos del Estudio de Impacto Ambiental Detallado del Proyecto de Desarrollo del Área Noroeste del Lote 64 - Campo Situche Central";"Lote 64";"TDR";"Hidrocarburos";"29/05/2023";"En Evaluación";"SIN DESCRIPCION";"-77.60223489";"-3.21989514";"";"null";
"2220";"PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL";"20503503639";"Informe Técnico Sustentatorio para la Estación de Pesaje";"Mejoramiento de la Carretera Huánuco %u2013 Conococha, Sector: Huánuco %u2013 La Unión %u2013 Huallanca, Ruta PE-3N";"ITS";"Transportes";"25/05/2023";"En Evaluación";"SIN DESCRIPCION";"-76.30554819";"-9.92047556";"";"null";
"2221";"GOBIERNO REGIONAL AYACUCHO";"20452393493";"CREACIÓN DEL CAMINO VECINAL ENTRE LAS COMUNIDADES DE SAN MARTIN DE CHUPÓN Y BELEN CHAPI, DISTRITO DE CHUNGUI %u2013 LA MAR %u2013 AYACUCHO";"Camino Vecinal";"Clasificación";"Transportes";"22/05/2023";"En Evaluación";"SIN DESCRIPCION";"-73.50050118";"-13.2546746";"";"null";
"2222";"CORI PUNO S.A.C.";"20406339361";"Modificación del Estudio de Impacto Ambiental %u201CAmpliación de la Explotación a Tajo Abierto y Beneficio de Minerales hasta 3,500 TMSD%u201D";"UNTUCA";"TDR";"Minería";"22/05/2023";"En Evaluación";"SIN DESCRIPCION";"-69.38047314";"-14.57921302";"";"null";
"2223";"MINERA AURIFERA RETAMAS S.A.";"20132367800";"Modificación del Estudio de Impacto Ambiental de la Unidad Económica Administrativa Retamas, Proyecto de Implementación de Nuevos Componentes Minero-Metalúrgicos y Optimización de Procesos";"UEA RETAMAS";"EIA-d";"Minería";"22/05/2023";"En Evaluación";"SIN DESCRIPCION";"-77.44630063";"-8.03887606";"";"null";
"2225";"COMPAñIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"CUARTO ITS DE LA UNIDAD MINERA UCHUCCHACUA";"UCHUCCHACUA";"ITS";"Minería";"19/05/2023";"En Evaluación";"SIN DESCRIPCION";"-76.68238923";"-10.63092034";"";"null";
"2226";"ENERGIA RENOVABLE DEL SUR S.A.";"20392847406";"MEJORA DEL DISEÑO DE LA SUBESTACIÓN ELÉCTRICA ERSUR Y USO DEL ACCESO PARA GRANDES COMPONENTES EN LA ETAPA DE OPERACIÓN DEL PROYECTO PE SAN JUAN";"PE SAN JUAN Y SU INTERCONEXIÓN AL SEIN";"";"Electricidad";"12/06/2023";"En Evaluación";"SIN DESCRIPCION";"-75.11345455";"-15.40426955";"";"null";
"2227";"COMPAÑIA MINERA ANTAPACCAY S.A.";"20114915026";"Términos de Referencia Específicos para la Segunda Modificación del Estudio de Impacto Ambiental detallado de la Unidad Minera Antapaccay-Tintaya-Integración Coroccohuayco";"Antapaccay - Tintaya - Integración Coroccohuayco";"";"Minería";"09/06/2023";"En Evaluación";"SIN DESCRIPCION";"-71.38501604";"-14.95183619";"";"null";
"2228";"COMPAñIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"Cuarto Informe Técnico Sustentatorio de la U.M. Julcani";"JULCANI";"";"Minería";"09/06/2023";"En Evaluación";"SIN DESCRIPCION";"-74.80346904";"-12.94271507";"";"null";
"2229";"COMPAñIA MINERA CONDESTABLE S.A.";"20100056802";"Cuarto Informe Técnico Sustentatorio de la U.M. Acumulación Condestable";"Unidad Minera Acumulación Condestable";"";"Minería";"08/06/2023";"En Evaluación";"SIN DESCRIPCION";"-76.58961306";"-12.69398952";"";"null";
"2230";"PLUSPETROL PERU CORPORATION S.A.";"20304177552";"INFORME TÉCNICO SUSTENTATORIO PERFORACION DEL POZO 1008D EN LA LOCACION PAGORENI B-LOTE 56";"Lote 56";"";"Hidrocarburos";"07/06/2023";"En Evaluación";"SIN DESCRIPCION";"-72.94883432";"-11.69131987";"";"null";
"2121";"PROVIAS DESCENTRALIZADO";"20380419247";"CONTRUCCIÓN DE LA CARRETERA PEBAS - CENTRO DE COMERCIO - TERMINAL PORTUARIO PIJUAYAL";"GERENCIA DE ESTUDIOS-DIRECCIÓN EJECUTIVA";"Clasificación";"Transportes";"13/02/2023";"En Evaluación";"SIN DESCRIPCION";"-75.541872";"-10.349299";"<Nulo>";"null";
"2210";"DISPOSICIONES TRATAMIENTOS Y SOLUCIONES AMBIENTALES S.A.C.";"20600590783";"Infraestructura de disposición final de residuos sólidos, sistemas de tratamiento de residuos y planta de valorización y reaprovechamiento de residuos sólidos, denominado Parque Ecológico Industrial EL ALGARROBO de DITSA AMBIENTAL SAC";"Infraestructura de Disposición Final de Residuos, Sistemas de Tratamiento de Residuos Sólidos, Plata de Valorización y Acondicionamiento de residuos sólidos";"EIA-sd";"Residuos Sólidos";"05/06/2023";"En Evaluación";"SIN DESCRIPCION";"-80.80358687";"-5.15451842";"";"null";
"2211";"REPSOL EXPLORACION PERU SUCURSAL DEL PERU";"20258262728";"INFORME TÉCNICO SUSTENTATORIO PARA LA ESTABILIZACIÓN DE LA PLATAFORMA  KINTERONI, LOTE 57";"Lote 57";"ITS";"Hidrocarburos";"03/06/2023";"En Evaluación";"SIN DESCRIPCION";"-73.25230241";"-11.50831351";"";"null";
"2212";"MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO";"20504743307";"Modificación del Estudio de Impacto Ambiental Detallado del Proyecto %u201CHabilitación Urbana para la Reubicación de la Población de la Zona Baja de Belén en el distrito de San Juan Bautista, provincia de Maynas, departamento de Loreto%u201D";"Habilitación Urbana Nuevo Belén";"TDR";"Vivienda";"03/06/2023";"En Evaluación";"SIN DESCRIPCION";"-73.36095883";"-3.87422738";"";"null";
"2214";"COMPAÑIA MINERA LINCUNA S.A.";"20458538701";"Modificatoria del Estudio de Impacto Ambiental del Proyecto Huancapetí de la Compañía Minera Lincuna";"Proyecto Huancapetí";"EIA-d";"Minería";"01/06/2023";"En Evaluación";"SIN DESCRIPCION";"-77.51087747";"-9.76861961";"";"null";
