Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"180";"AGUAYTIA ENERGY DEL PERU S.R.L.";"20297660536";"EXPLORACIÓN SÍSMICA (2D/3D);EXPLORACIÓN DE HIDROCARBURO (PERFORACIÓN DE POZOS EXPLORATORIOS)";"LOTE 31-C";"IntegrAmbiente";"Hidrocarburos";"15/07/2022";"En Evaluación";"SIN DESCRIPCION";"-75.22701404";"-8.38006262";"";"null";
"245";"VOLCAN COMPANIA MINERA S.A.A.";"20383045267";"PLAN DE PARTICIPACIÓN CIUDADANA DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO INTEGRACIÓN DE LAS UNIDADES MINERAS CARAHUACRA Y SAN CRISTÓBAL - MAHR TÚNEL";"CARAHUACRA";"PPC";"Minería";"31/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.09600683";"-11.70387967";"";"null";
"246";"EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.";"20262221335";"CANAL TEMPORAL DE DESCARGA DE AGUA TURBINADA DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN II";"SAN GABÁN II";"ITS";"Electricidad";"02/04/2023";"En Evaluación";"SIN DESCRIPCION";"-70.46009185";"-13.6390796";"";"null";
"260";"VOLCAN COMPANIA MINERA S.A.A.";"20383045267";"TERCERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (MEIA-D) DE LA UNIDAD MINERA ANDAYCHAGUA";"ANDAYCHAGUA";"MPPC";"Minería";"31/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.00594471";"-11.75075653";"";"null";
"261";"ENGIE ENERGIA PERU S.A.";"20333363900";"INFORME TÉCNICO SUSTENTATORIO PARA LA MODIFICACIÓN DE COMPONENTES AUXILIARES PARA LA LIMPIEZA DE ARENA EN LA COLA DE EMBALSE Y MEJORA DE LA OPERACIÓN DE LA CENTRAL HIDROELÉCTRICA YUNCAN";"CENTRAL HIDROELECTRICA YUNCAN";"ITS";"Electricidad";"03/04/2023";"En Evaluación";"SIN DESCRIPCION";"-75.71222907";"-10.76304682";"";"null";
"262";"MINERA BATEAS S.A.C.";"20510704291";"SEXTO INFORME TÉCNICO SUSTENTATORIO DE EXPLOTACIÓN DE LA SEGUNDA MEIAD DEL PROYECTO %u201CAMPLIACIÓN DE MINA Y PLANTA DE BENEFICIO HUAYLLACHO DE 1030 TMD A 1500 TMD%u201D";"UNIDAD MINERA CAYLLOMA";"ITS";"Minería";"03/04/2023";"En Evaluación";"SIN DESCRIPCION";"-71.86441655";"-15.20560047";"";"null";
"227";"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.";"20100079501";"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO (EIA-D %u2013 CATEGORÍA III) DE LA UNIDAD MINERA ORCOPAMPA";"ORCOPAMPA";"PPC";"Minería";"30/03/2023";"En Evaluación";"SIN DESCRIPCION";"-72.33412534";"-15.27797935";"";"null";
"284";"MINISTERIO DE TRANSPORTES Y COMUNICACIONES";"20131379944";"Informe Técnico Sustentatorio (ITS) para la Implementación de la Planta de Suelos, en la Etapa de Construcción del Nuevo Aeropuerto Internacional Chinchero- Cusco (AICC)";"Dirección General de Aeronáutica Civil";"ITS";"Transportes";"05/05/2023";"En Evaluación";"SIN DESCRIPCION";"-72.06277652";"-13.41137998";"";"null";
"285";"CORPORACION LOGISTICA AMBIENTAL S.A.C.";"20601770653";"INFRAESTRUCTURA DE VALORIZACIÓN Y ÁREA DE ACONDICIONAMIENTO DE RESIDUOS SÓLIDOS";"CLA - VENTANILLA ZONA 9";"Clasificación";"Residuos Sólidos";"05/05/2023";"En Evaluación";"SIN DESCRIPCION";"-77.11095328";"-11.93094566";"";"null";
"286";"CERRO DE PASCO RESOURCES SUBSIDIARIA DEL PERU S.A.C.";"20516488973";"CUARTO INFORME TÉCNICO SUSTENTATORIO DE LA PRIMERA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA SANTANDER";"Santander";"ITS";"Minería";"05/05/2023";"En Evaluación";"SIN DESCRIPCION";"-76.52184216";"-11.19088054";"";"null";
